Power_On_Hours,Wear_Leveling_Count,Temperature,Reallocated_Sector_Ct,Media_Errors,Host_Writes,Write_Amplification,Bad_Block_Count,days_to_failure,health_status
17615,38,35.14060764947431,11,0,182018,2.022074263967578,0,2204,Healthy
15511,27,34.483528064956786,0,0,160271,1.8829175903977977,0,2544,Healthy
29742,58,32.92287643809087,15,3,289851,2.4767259832199864,2,1471,Healthy
45460,92,32.988985770932715,60,1,441378,3.5126732523707798,28,336,Critical
3415,5,34.7534271046876,0,0,35440,1.1951207941934854,0,3344,Healthy
37338,71,35.7440098011538,19,8,359711,2.9853861247697053,2,953,Degrading
37315,73,32.106912400803225,15,8,372759,3.323102296421855,9,1088,Degrading
20456,42,32.78037343125615,2,0,211573,2.3402750601987234,8,2073,Healthy
11227,22,34.79522331254025,12,1,117544,2.0463678404390113,1,2805,Healthy
6175,10,23.782944504616175,3,1,55077,1.4282123846441623,0,3235,Healthy
6446,11,32.2733478238106,0,0,73972,1.495953257431879,0,3180,Healthy
851,3,42.68508003597176,0,1,18096,1.0584817608624255,5,3537,Healthy
11080,26,39.40240196931494,14,0,119587,1.6954073635403337,4,2833,Healthy
1702,0,30.5086931633087,0,2,0,1.5514564533231483,0,3579,Healthy
45877,93,44.46623923737892,69,19,487738,3.4468358541306285,26,231,Critical
18651,35,34.97701911229254,3,2,167804,2.119474675963853,2,2353,Healthy
427,0,35.29735280006651,13,3,0,1.062418074682761,0,3654,Healthy
43729,86,47.97619901821152,35,4,415716,3.1598964692423572,16,560,Degrading
45811,90,52.59257634707984,52,3,445677,3.2375132627295584,26,395,Critical
8718,17,35.34110926453095,5,0,80087,1.3398072535804495,0,3029,Healthy
9184,17,34.845302159865966,17,1,76657,1.8352165684877064,0,3057,Healthy
36190,67,32.335715640295476,18,5,356392,3.7267565080987177,9,1120,Degrading
35330,70,31.25684191427696,0,4,342424,2.9469899647363347,3,1034,Degrading
29898,58,41.35308559052694,6,0,288263,2.8130027012094616,0,1499,Healthy
4973,8,37.333994666444596,8,0,30261,1.5388082517205097,0,3448,Healthy
2253,8,35.113339784273265,0,0,34478,1.2654751068409225,8,3375,Healthy
33387,69,29.967814936497827,28,0,317299,2.8030150495529944,14,1239,Degrading
22740,46,28.49580179798141,19,0,232335,2.409827542408632,8,1878,Healthy
25561,52,34.019074956643124,3,4,252829,2.078365249952488,8,1795,Healthy
29392,54,38.39775392558223,7,0,270727,2.465441786358071,0,1683,Healthy
6860,14,32.99171783592892,6,0,67849,1.6057594711471554,0,3165,Healthy
37600,78,36.7531663452505,20,10,396460,3.3037343290551195,16,816,Degrading
15763,33,31.845293698863404,0,9,170677,1.6417149825494861,0,2517,Healthy
36422,76,40.6654728406982,19,0,376945,2.9455039812917776,13,899,Degrading
18159,37,31.34263309100799,3,3,184182,2.3081583990619814,0,2349,Healthy
5535,8,38.21178825173445,8,0,41560,1.2082459188191101,0,3336,Healthy
4086,7,33.0264651758204,1,0,19710,1.27211794187836,2,3446,Healthy
50631,99,36.06459904191567,104,21,510993,3.874266155515292,53,2,Critical
29104,60,28.578895823869196,13,0,278606,2.8673058606113457,0,1459,Healthy
41052,79,40.59754605460201,16,15,418691,3.1406524188464306,4,720,Degrading
48771,97,27.43782097156737,79,16,484402,3.676663856336447,37,155,Critical
47550,93,42.56190696056178,63,13,473585,3.6648020915178194,34,167,Critical
30078,61,37.39295083499452,28,2,324576,2.7793151817262016,9,1424,Degrading
20340,41,40.877986449785716,0,3,212325,1.85695926824637,0,2116,Healthy
45408,86,36.60801446472374,69,16,455386,3.4574530845073834,27,341,Critical
47336,93,39.354725555290834,82,21,493682,3.462105480948222,36,41,Critical
46894,89,36.73446674560678,48,6,442803,3.155153250918525,21,378,Critical
32236,67,37.97384783996476,11,2,351339,3.077488613582874,3,1112,Degrading
20897,36,30.5721001144711,0,4,175356,2.1319043688920205,5,2268,Healthy
22450,41,35.49144184757066,0,0,217240,2.1022213163357577,9,2043,Healthy
